ダウンロードした時刻：2022/12/25 22:34:30,,,
,,,
,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
2018/4/1,25.3,8,1
2018/4/2,25.4,8,1
2018/4/3,25.5,8,1
2018/4/4,26.7,8,1
2018/4/5,26.7,8,1
2018/4/6,26.3,8,1
2018/4/7,18.7,8,1
2018/4/8,19.0,8,1
2018/4/9,22.8,8,1
2018/4/10,25.5,8,1
2018/4/11,26.5,8,1
2018/4/12,28.1,8,1
2018/4/13,27.9,8,1
2018/4/14,27.5,8,1
2018/4/15,24.3,8,1
2018/4/16,21.7,8,1
2018/4/17,19.2,8,1
2018/4/18,23.3,8,1
2018/4/19,26.3,8,1
2018/4/20,24.7,8,1
2018/4/21,26.0,8,1
2018/4/22,23.7,8,1
2018/4/23,27.0,8,1
2018/4/24,27.5,8,1
2018/4/25,23.6,8,1
2018/4/26,24.0,8,1
2018/4/27,24.7,8,1
2018/4/28,25.3,8,1
2018/4/29,25.7,8,1
2018/4/30,28.4,8,1
